                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                  1.071,                0.91414,                 1.0991,                0.85339,                0.89914,                0.92394,                0.68282,                0.93848,                0.54582,                 1.0365,             0.00019454,             0.00019454,             0.00019454
                     65,                  1.072,                0.91635,                  1.098,                0.85826,                0.90616,                0.92991,                 0.6912,                0.93424,                0.54746,                 1.0329,             0.00019234,             0.00019234,             0.00019234
                     66,                 1.0741,                0.91453,                 1.0953,                0.84668,                0.90711,                0.92609,                0.68749,                0.93332,                 0.5467,                 1.0342,             0.00019014,             0.00019014,             0.00019014
                     67,                 1.0673,                0.91013,                 1.0922,                0.86227,                0.89635,                0.92862,                0.68804,                0.94212,                0.54214,                 1.0391,             0.00018795,             0.00018795,             0.00018795
                     68,                  1.061,                0.90428,                 1.0892,                0.87135,                 0.9061,                0.93384,                0.69324,                 0.9328,                0.53407,                  1.032,             0.00018575,             0.00018575,             0.00018575
                     69,                 1.0604,                 0.8971,                 1.0873,                0.86031,                0.92772,                0.93868,                0.69927,                0.92855,                0.53223,                 1.0314,             0.00018355,             0.00018355,             0.00018355
                     70,                 1.0562,                0.89997,                 1.0872,                0.86721,                0.90335,                0.93159,                0.69202,                 0.9266,                0.53618,                 1.0312,             0.00018135,             0.00018135,             0.00018135
                     71,                 1.0561,                0.89264,                 1.0871,                0.86075,                0.90708,                0.93355,                0.69152,                0.92796,                0.53905,                 1.0307,             0.00017915,             0.00017915,             0.00017915
                     72,                 1.0568,                0.88674,                 1.0865,                0.86763,                 0.9146,                0.93665,                0.69901,                 0.9226,                0.52845,                 1.0255,             0.00017696,             0.00017696,             0.00017696
                     73,                 1.0563,                0.88748,                  1.086,                0.85712,                0.92396,                0.93781,                0.70026,                0.91941,                0.52348,                 1.0258,             0.00017476,             0.00017476,             0.00017476
                     74,                 1.0483,                0.87744,                 1.0822,                0.85249,                0.91303,                0.93592,                 0.6991,                0.92009,                 0.5253,                 1.0249,             0.00017256,             0.00017256,             0.00017256
                     75,                 1.0532,                0.87307,                 1.0831,                0.88842,                0.89453,                0.93952,                 0.6976,                0.92185,                0.52058,                 1.0252,             0.00017036,             0.00017036,             0.00017036
